id,label
22380,2
19456,2
41670,2
14460,0
47292,2
29774,0
56154,2
53289,2
72858,0
42322,0
3697,0
22748,0
74088,2
69506,0
49565,0
3248,2
23664,0
72423,2
66311,2
40424,2
50145,1
49928,2
54083,2
23952,1
25097,1
15423,0
14877,1
1253,2
23429,2
11050,0
57251,0
71517,2
47682,0
41619,2
32014,0
60870,2
27863,2
4477,2
44322,0
39399,2
16107,1
54277,2
44647,0
36379,0
69850,0
60352,2
57236,0
72295,0
62425,0
6750,0
44794,2
56483,2
48716,2
12331,0
8945,2
68718,0
34884,1
41956,0
51279,0
13589,0
68997,0
31135,0
63560,0
4801,2
22072,0
54976,2
3968,2
193,0
17268,2
37484,2
6549,2
21820,1
64470,0
26329,2
25259,2
21313,1
60178,2
11309,2
22249,2
61189,2
55686,0
62015,2
55891,0
51820,2
23316,0
32466,0
21414,0
12356,2
10607,0
65610,2
71006,0
56326,2
60056,2
9563,2
34947,0
68823,0
62681,2
66713,2
53546,0
31465,0
12330,2
21893,2
932,2
56697,2
48933,0
6172,2
49755,2
2752,0
25085,2
14913,2
27948,2
37925,0
63537,1
1140,2
2104,0
3547,0
10923,0
28657,0
2760,0
57325,2
23817,0
6429,0
32780,0
7166,0
58293,2
20648,0
45400,0
5400,0
52691,0
35446,2
15241,2
38798,0
3480,0
46746,2
22692,2
25493,2
45936,2
4865,2
40223,2
54323,2
25340,1
4811,2
38783,2
22799,0
59673,1
72275,1
51530,2
39974,2
1393,0
29866,0
34223,0
72625,0
20875,0
63648,2
33325,0
28497,0
59705,2
6512,0
34949,0
43526,0
43550,0
9611,2
54651,2
6290,2
45194,2
8205,0
18170,0
46993,2
59448,2
44560,2
56075,0
47362,0
1892,0
52571,2
16728,0
982,2
58626,2
28149,2
6061,2
52734,0
25131,0
10180,0
3487,2
9329,0
28831,2
63591,2
54079,2
45772,1
2746,0
61665,0
16819,2
54975,2
34578,0
8536,2
30289,0
51902,2
21591,0
12116,0
18975,0
25357,0
28097,0
1886,2
31271,0
40751,2
6414,0
45771,2
3170,2
55722,2
33975,2
49635,2
40139,1
22194,0
18618,1
20568,2
44123,2
56282,0
1855,2
58291,0
55108,0
73232,0
8028,0
31013,0
43808,0
40251,2
56230,2
12394,0
40914,2
53500,2
66766,2
387,0
44991,1
31117,2
7087,2
16585,2
18233,2
27205,0
41985,1
19382,2
24813,2
500,2
32402,2
61923,2
56272,0
56009,0
59982,2
43173,2
25009,2
68730,2
33574,0
69669,0
72326,0
722,0
12286,2
39657,2
44709,2
73205,2
13947,0
69483,0
15112,2
30018,2
23325,0
62819,2
49112,0
515,0
24863,0
37346,2
46908,0
1838,0
31050,2
17116,2
71914,2
34007,2
54271,2
13393,0
1053,2
8959,2
72698,2
22817,2
67286,0
24760,2
57458,2
30983,2
37898,1
56952,2
26132,2
69783,2
23389,2
56323,0
39695,2
37288,2
27145,2
20310,2
53118,2
44829,2
45700,2
64738,0
1373,2
35729,0
11625,0
34238,2
6434,0
8033,2
72083,1
30251,2
51505,2
23585,1
59923,0
11423,2
6941,0
32154,2
3305,1
50528,2
50373,2
34658,0
8481,0
67465,2
31099,1
48618,0
47666,2
55593,0
49318,0
36021,2
72145,2
44797,1
71561,2
1105,2
54049,2
35101,2
69771,0
26226,0
586,2
34295,2
59152,2
9330,1
32693,2
17760,0
11246,0
32251,2
30916,1
72962,2
70407,2
60787,2
57705,0
16429,2
39997,0
29634,0
1914,1
8838,2
39117,0
15570,0
12241,2
65103,2
17556,0
57634,2
24192,2
57375,2
7343,2
53047,0
54018,2
6001,1
47144,2
53070,2
71673,0
41202,2
69622,2
47035,2
25475,2
25400,2
733,2
47876,2
35315,2
1362,2
71373,2
70700,0
35638,0
35736,0
788,0
61670,1
59797,1
63843,2
60089,2
33450,0
8896,2
61797,2
29636,1
74149,0
39065,2
8654,0
35444,0
17195,1
2773,2
9918,2
54991,0
48313,2
36755,2
34930,2
57757,0
33157,0
51683,1
24909,2
12342,2
31413,0
72227,0
35186,0
39719,2
51625,2
59229,2
64595,2
62981,0
42209,0
26189,0
37167,2
27589,0
51872,2
2909,2
63782,0
32078,0
19669,0
41684,2
9896,2
48683,0
57094,2
44592,0
58272,2
26447,2
50456,2
38377,0
63345,2
43298,0
40175,2
73938,2
65510,0
65195,0
14428,2
44510,0
40166,2
71834,2
29156,1
3883,1
1640,0
33495,2
24190,0
55038,0
7128,0
31922,0
42625,2
47832,0
54215,0
62950,2
40179,0
45946,0
59798,2
21073,2
291,2
32877,0
71664,0
49923,0
17349,0
27349,2
48968,2
38090,2
47649,2
65463,0
39242,2
41291,0
186,2
53007,2
36146,1
69053,2
56505,0
26187,2
72041,2
1455,2
22561,2
32908,2
21002,1
16844,2
61935,2
8501,0
16114,2
61915,2
16692,2
53368,2
61759,2
11756,2
18675,1
42565,2
6959,2
595,1
52930,0
41175,2
66520,2
55541,0
52783,0
72582,2
46574,2
24685,0
60712,2
69932,2
72724,1
24860,0
72826,2
44470,2
19890,2
21305,0
34921,0
59849,2
13762,0
28526,2
425,0
61410,2
35090,2
29536,2
26513,2
2830,1
14367,2
39768,2
69434,0
19731,0
22719,0
35011,2
66517,0
57529,0
69335,0
73041,2
8632,0
53563,2
37153,2
19336,0
9580,0
64894,2
34593,0
42529,1
37287,2
31747,2
58129,2
15697,0
47900,2
33262,0
61566,2
11033,1
12404,2
31086,2
46847,2
41737,0
24084,0
14687,0
64482,2
45469,0
53825,2
2226,2
64273,0
10650,2
54910,2
27117,2
60063,0
2754,0
30148,0
21070,0
735,2
26023,2
45373,2
24674,2
61613,0
29388,2
38485,0
45977,2
22701,1
55980,2
3475,0
57095,2
61813,0
45959,2
61842,1
44669,2
41372,2
48617,2
66303,2
20801,2
7519,1
39975,2
52662,0
61785,0
57847,0
73442,0
11080,2
51380,0
68814,2
17262,0
38920,2
1052,2
30762,1
18243,0
73099,0
2794,0
15656,2
19696,2
28066,2
33608,2
28544,2
2103,0
42181,2
59620,2
11356,2
47990,0
73074,2
1809,0
26784,1
32362,2
71,0
16183,2
13791,2
16438,0
32248,2
44293,0
61562,1
25309,2
68451,2
1306,0
40758,2
40837,0
27500,0
37892,0
49958,0
55549,0
18686,0
50492,0
29639,2
21052,2
34711,2
59595,1
17693,2
37467,0
6455,0
2839,0
46889,2
22993,2
70747,2
22198,0
51696,2
5462,2
64773,0
50070,2
61848,2
8018,2
34857,1
29485,2
2096,0
13494,1
13244,1
45148,2
3817,2
16413,2
70411,0
71541,2
9668,0
2883,0
58468,2
13561,2
69105,0
66072,2
17525,2
45228,0
19253,0
15194,2
15189,2
46316,2
14344,2
25582,0
42505,1
25899,2
9838,2
26530,1
41515,0
48945,2
31886,0
56515,2
3185,2
68710,2
421,2
45145,2
14457,2
63360,1
7946,2
57955,0
62391,2
6043,2
64829,2
52275,2
65818,2
11179,0
43512,0
8582,2
33338,1
38133,2
37784,2
42471,2
46972,0
25687,0
54539,2
6450,2
43359,0
7170,2
27912,0
415,2
46829,2
36435,2
10074,0
30583,2
2765,0
55597,2
3208,2
74213,0
25331,2
46928,1
12792,0
2945,2
67113,2
64549,2
35021,2
174,0
30158,0
49201,0
22912,0
38917,2
4208,2
72915,2
62091,2
48231,2
46150,2
67360,1
10271,0
61588,2
72927,0
44704,0
45634,0
40516,1
68438,2
